('2017-05-01 15:57:03', '$JPM:\n\nNew SEC Filing for JPM: Form 424B2 (No. 0001140361-17-017485):\n\nhttps://t.co/HWuO6Z6wHh')
('2017-04-30 05:56:50', 'RT @StockRockStars: _ÙÕ´ $PUPS WILL GO KABOOOM NEXT WEEK_ÙÕ´\n\n$AAPL $AMZN $TWTR $FB $NFLX $DIS $SIRI $FNMA $INTC $JPM $CHK $CMCSA $GOOG $PFE $XOM‰Û_')
('2017-04-30 05:56:41', 'RT @StockRockStars: _ÙÕ´ $PUPS WILL GO KABOOOM NEXT WEEK_ÙÕ´\n\n$AAPL $AMZN $TWTR $FB $NFLX $DIS $SIRI $FNMA $INTC $JPM $CHK $CMCSA $GOOG $PFE $XOM‰Û_')
('2017-04-30 05:56:40', 'RT @PennystocksMega: _ÙÕ´ $PUPS WILL GO KABOOOM NEXT WEEK_ÙÕ´\n\n$AAPL $AMZN $TWTR $FB $NFLX $DIS $SIRI $FNMA $INTC $JPM $CHK $CMCSA $GOOG $PFE $XO‰Û_')
('2017-04-30 05:56:40', 'RT @platinumstock: _ÙÕ´ $PUPS WILL GO KABOOOM NEXT WEEK_ÙÕ´\n\n$AAPL $AMZN $TWTR $FB $NFLX $DIS $SIRI $FNMA $INTC $JPM $CHK $CMCSA $GOOG $PFE $XOM‰Û_')
('2017-04-30 05:56:36', 'RT @platinumstock: _ÙÕ´ $PUPS WILL GO KABOOOM NEXT WEEK_ÙÕ´\n\n$AAPL $AMZN $TWTR $FB $NFLX $DIS $SIRI $FNMA $INTC $JPM $CHK $CMCSA $GOOG $PFE $XOM‰Û_')
('2017-04-30 05:56:35', 'RT @PennystocksMega: _ÙÕ´ $PUPS WILL GO KABOOOM NEXT WEEK_ÙÕ´\n\n$AAPL $AMZN $TWTR $FB $NFLX $DIS $SIRI $FNMA $INTC $JPM $CHK $CMCSA $GOOG $PFE $XO‰Û_')
('2017-04-30 05:56:35', 'RT @StockRockStars: _ÙÕ´ $PUPS WILL GO KABOOOM NEXT WEEK_ÙÕ´\n\n$AAPL $AMZN $TWTR $FB $NFLX $DIS $SIRI $FNMA $INTC $JPM $CHK $CMCSA $GOOG $PFE $XOM‰Û_')
('2017-04-30 05:56:34', 'RT @PennystocksMega: _ÙÕ´ $PUPS WILL GO KABOOOM NEXT WEEK_ÙÕ´\n\n$AAPL $AMZN $TWTR $FB $NFLX $DIS $SIRI $FNMA $INTC $JPM $CHK $CMCSA $GOOG $PFE $XO‰Û_')
('2017-04-30 05:56:34', 'RT @StockRockStars: _ÙÕ´ $PUPS WILL GO KABOOOM NEXT WEEK_ÙÕ´\n\n$AAPL $AMZN $TWTR $FB $NFLX $DIS $SIRI $FNMA $INTC $JPM $CHK $CMCSA $GOOG $PFE $XOM‰Û_')
('2017-04-30 05:56:33', 'RT @PennystocksMega: _ÙÕ´ $PUPS WILL GO KABOOOM NEXT WEEK_ÙÕ´\n\n$AAPL $AMZN $TWTR $FB $NFLX $DIS $SIRI $FNMA $INTC $JPM $CHK $CMCSA $GOOG $PFE $XO‰Û_')
('2017-04-30 05:56:32', 'RT @PennystocksMega: _ÙÕ´ $PUPS WILL GO KABOOOM NEXT WEEK_ÙÕ´\n\n$AAPL $AMZN $TWTR $FB $NFLX $DIS $SIRI $FNMA $INTC $JPM $CHK $CMCSA $GOOG $PFE $XO‰Û_')
('2017-04-30 05:56:26', 'RT @platinumstock: _ÙÕ´ $PUPS WILL GO KABOOOM NEXT WEEK_ÙÕ´\n\n$AAPL $AMZN $TWTR $FB $NFLX $DIS $SIRI $FNMA $INTC $JPM $CHK $CMCSA $GOOG $PFE $XOM‰Û_')
('2017-04-30 05:56:23', 'RT @PennystocksMega: _ÙÕ´ $PUPS WILL GO KABOOOM NEXT WEEK_ÙÕ´\n\n$AAPL $AMZN $TWTR $FB $NFLX $DIS $SIRI $FNMA $INTC $JPM $CHK $CMCSA $GOOG $PFE $XO‰Û_')
('2017-04-30 05:56:21', 'RT @platinumstock: _ÙÕ´ $PUPS WILL GO KABOOOM NEXT WEEK_ÙÕ´\n\n$AAPL $AMZN $TWTR $FB $NFLX $DIS $SIRI $FNMA $INTC $JPM $CHK $CMCSA $GOOG $PFE $XOM‰Û_')
('2017-04-30 05:56:20', 'RT @platinumstock: _ÙÕ´ $PUPS WILL GO KABOOOM NEXT WEEK_ÙÕ´\n\n$AAPL $AMZN $TWTR $FB $NFLX $DIS $SIRI $FNMA $INTC $JPM $CHK $CMCSA $GOOG $PFE $XOM‰Û_')
('2017-04-30 05:56:19', 'RT @PennystocksMega: _ÙÕ´ $PUPS WILL GO KABOOOM NEXT WEEK_ÙÕ´\n\n$AAPL $AMZN $TWTR $FB $NFLX $DIS $SIRI $FNMA $INTC $JPM $CHK $CMCSA $GOOG $PFE $XO‰Û_')
('2017-04-30 05:56:19', 'RT @PennystocksMega: _ÙÕ´ $PUPS WILL GO KABOOOM NEXT WEEK_ÙÕ´\n\n$AAPL $AMZN $TWTR $FB $NFLX $DIS $SIRI $FNMA $INTC $JPM $CHK $CMCSA $GOOG $PFE $XO‰Û_')
('2017-04-30 05:56:18', 'RT @PennystocksMega: _ÙÕ´ $PUPS WILL GO KABOOOM NEXT WEEK_ÙÕ´\n\n$AAPL $AMZN $TWTR $FB $NFLX $DIS $SIRI $FNMA $INTC $JPM $CHK $CMCSA $GOOG $PFE $XO‰Û_')
('2017-04-30 05:56:18', 'RT @PennystocksMega: _ÙÕ´ $PUPS WILL GO KABOOOM NEXT WEEK_ÙÕ´\n\n$AAPL $AMZN $TWTR $FB $NFLX $DIS $SIRI $FNMA $INTC $JPM $CHK $CMCSA $GOOG $PFE $XO‰Û_')
('2017-04-30 05:56:16', 'RT @PennystocksMega: _ÙÕ´ $PUPS WILL GO KABOOOM NEXT WEEK_ÙÕ´\n\n$AAPL $AMZN $TWTR $FB $NFLX $DIS $SIRI $FNMA $INTC $JPM $CHK $CMCSA $GOOG $PFE $XO‰Û_')
('2017-04-30 05:56:16', 'RT @platinumstock: _ÙÕ´ $PUPS WILL GO KABOOOM NEXT WEEK_ÙÕ´\n\n$AAPL $AMZN $TWTR $FB $NFLX $DIS $SIRI $FNMA $INTC $JPM $CHK $CMCSA $GOOG $PFE $XOM‰Û_')
('2017-04-30 05:56:07', 'RT @PennystocksMega: _ÙÕ´ $PUPS WILL GO KABOOOM NEXT WEEK_ÙÕ´\n\n$AAPL $AMZN $TWTR $FB $NFLX $DIS $SIRI $FNMA $INTC $JPM $CHK $CMCSA $GOOG $PFE $XO‰Û_')
('2017-04-30 05:56:06', 'RT @platinumstock: _ÙÕ´ $PUPS WILL GO KABOOOM NEXT WEEK_ÙÕ´\n\n$AAPL $AMZN $TWTR $FB $NFLX $DIS $SIRI $FNMA $INTC $JPM $CHK $CMCSA $GOOG $PFE $XOM‰Û_')
('2017-04-30 05:56:03', 'RT @PennystocksMega: _ÙÕ´ $PUPS WILL GO KABOOOM NEXT WEEK_ÙÕ´\n\n$AAPL $AMZN $TWTR $FB $NFLX $DIS $SIRI $FNMA $INTC $JPM $CHK $CMCSA $GOOG $PFE $XO‰Û_')
('2017-04-30 05:56:03', 'RT @PennystocksMega: _ÙÕ´ $PUPS WILL GO KABOOOM NEXT WEEK_ÙÕ´\n\n$AAPL $AMZN $TWTR $FB $NFLX $DIS $SIRI $FNMA $INTC $JPM $CHK $CMCSA $GOOG $PFE $XO‰Û_')
('2017-04-30 05:55:57', 'RT @platinumstock: _ÙÕ´ $PUPS WILL GO KABOOOM NEXT WEEK_ÙÕ´\n\n$AAPL $AMZN $TWTR $FB $NFLX $DIS $SIRI $FNMA $INTC $JPM $CHK $CMCSA $GOOG $PFE $XOM‰Û_')
('2017-04-30 05:55:56', 'RT @PennystocksMega: _ÙÕ´ $PUPS WILL GO KABOOOM NEXT WEEK_ÙÕ´\n\n$AAPL $AMZN $TWTR $FB $NFLX $DIS $SIRI $FNMA $INTC $JPM $CHK $CMCSA $GOOG $PFE $XO‰Û_')
('2017-04-30 05:55:45', 'RT @PennystocksMega: _ÙÕ´ $PUPS WILL GO KABOOOM NEXT WEEK_ÙÕ´\n\n$AAPL $AMZN $TWTR $FB $NFLX $DIS $SIRI $FNMA $INTC $JPM $CHK $CMCSA $GOOG $PFE $XO‰Û_')
('2017-04-30 05:55:44', 'RT @PennystocksMega: _ÙÕ´ $PUPS WILL GO KABOOOM NEXT WEEK_ÙÕ´\n\n$AAPL $AMZN $TWTR $FB $NFLX $DIS $SIRI $FNMA $INTC $JPM $CHK $CMCSA $GOOG $PFE $XO‰Û_')
('2017-04-30 05:55:40', 'RT @platinumstock: _ÙÕ´ $PUPS WILL GO KABOOOM NEXT WEEK_ÙÕ´\n\n$AAPL $AMZN $TWTR $FB $NFLX $DIS $SIRI $FNMA $INTC $JPM $CHK $CMCSA $GOOG $PFE $XOM‰Û_')
('2017-04-30 05:55:37', 'RT @platinumstock: _ÙÕ´ $PUPS WILL GO KABOOOM NEXT WEEK_ÙÕ´\n\n$AAPL $AMZN $TWTR $FB $NFLX $DIS $SIRI $FNMA $INTC $JPM $CHK $CMCSA $GOOG $PFE $XOM‰Û_')
('2017-04-30 05:55:34', 'RT @PennystocksMega: _ÙÕ´ $PUPS WILL GO KABOOOM NEXT WEEK_ÙÕ´\n\n$AAPL $AMZN $TWTR $FB $NFLX $DIS $SIRI $FNMA $INTC $JPM $CHK $CMCSA $GOOG $PFE $XO‰Û_')
('2017-04-30 05:55:34', 'RT @StockRockStars: _ÙÕ´ $PUPS WILL GO KABOOOM NEXT WEEK_ÙÕ´\n\n$AAPL $AMZN $TWTR $FB $NFLX $DIS $SIRI $FNMA $INTC $JPM $CHK $CMCSA $GOOG $PFE $XOM‰Û_')
('2017-04-30 05:55:30', 'RT @PennystocksMega: _ÙÕ´ $PUPS WILL GO KABOOOM NEXT WEEK_ÙÕ´\n\n$AAPL $AMZN $TWTR $FB $NFLX $DIS $SIRI $FNMA $INTC $JPM $CHK $CMCSA $GOOG $PFE $XO‰Û_')
('2017-04-30 05:55:30', 'RT @StockRockStars: _ÙÕ´ $PUPS WILL GO KABOOOM NEXT WEEK_ÙÕ´\n\n$AAPL $AMZN $TWTR $FB $NFLX $DIS $SIRI $FNMA $INTC $JPM $CHK $CMCSA $GOOG $PFE $XOM‰Û_')
('2017-04-30 05:55:30', 'RT @PennystocksMega: _ÙÕ´ $PUPS WILL GO KABOOOM NEXT WEEK_ÙÕ´\n\n$AAPL $AMZN $TWTR $FB $NFLX $DIS $SIRI $FNMA $INTC $JPM $CHK $CMCSA $GOOG $PFE $XO‰Û_')
('2017-04-30 05:55:29', 'RT @PennystocksMega: _ÙÕ´ $PUPS WILL GO KABOOOM NEXT WEEK_ÙÕ´\n\n$AAPL $AMZN $TWTR $FB $NFLX $DIS $SIRI $FNMA $INTC $JPM $CHK $CMCSA $GOOG $PFE $XO‰Û_')
('2017-04-30 05:55:16', 'RT @platinumstock: _ÙÕ´ $PUPS WILL GO KABOOOM NEXT WEEK_ÙÕ´\n\n$AAPL $AMZN $TWTR $FB $NFLX $DIS $SIRI $FNMA $INTC $JPM $CHK $CMCSA $GOOG $PFE $XOM‰Û_')
('2017-04-30 05:55:15', 'RT @PennystocksMega: _ÙÕ´ $PUPS WILL GO KABOOOM NEXT WEEK_ÙÕ´\n\n$AAPL $AMZN $TWTR $FB $NFLX $DIS $SIRI $FNMA $INTC $JPM $CHK $CMCSA $GOOG $PFE $XO‰Û_')
('2017-04-30 05:55:13', 'RT @PennystocksMega: _ÙÕ´ $PUPS WILL GO KABOOOM NEXT WEEK_ÙÕ´\n\n$AAPL $AMZN $TWTR $FB $NFLX $DIS $SIRI $FNMA $INTC $JPM $CHK $CMCSA $GOOG $PFE $XO‰Û_')
('2017-04-30 05:55:11', 'RT @platinumstock: _ÙÕ´ $PUPS WILL GO KABOOOM NEXT WEEK_ÙÕ´\n\n$AAPL $AMZN $TWTR $FB $NFLX $DIS $SIRI $FNMA $INTC $JPM $CHK $CMCSA $GOOG $PFE $XOM‰Û_')
('2017-04-30 05:55:11', 'RT @PennystocksMega: _ÙÕ´ $PUPS WILL GO KABOOOM NEXT WEEK_ÙÕ´\n\n$AAPL $AMZN $TWTR $FB $NFLX $DIS $SIRI $FNMA $INTC $JPM $CHK $CMCSA $GOOG $PFE $XO‰Û_')
('2017-04-30 05:55:11', 'RT @platinumstock: _ÙÕ´ $PUPS WILL GO KABOOOM NEXT WEEK_ÙÕ´\n\n$AAPL $AMZN $TWTR $FB $NFLX $DIS $SIRI $FNMA $INTC $JPM $CHK $CMCSA $GOOG $PFE $XOM‰Û_')
('2017-04-30 05:55:09', 'RT @platinumstock: _ÙÕ´ $PUPS WILL GO KABOOOM NEXT WEEK_ÙÕ´\n\n$AAPL $AMZN $TWTR $FB $NFLX $DIS $SIRI $FNMA $INTC $JPM $CHK $CMCSA $GOOG $PFE $XOM‰Û_')
('2017-04-30 05:55:06', 'RT @PennystocksMega: _ÙÕ´ $PUPS WILL GO KABOOOM NEXT WEEK_ÙÕ´\n\n$AAPL $AMZN $TWTR $FB $NFLX $DIS $SIRI $FNMA $INTC $JPM $CHK $CMCSA $GOOG $PFE $XO‰Û_')
('2017-04-30 05:55:04', 'RT @InvestorHangout: Hot Stocks $AAPL $AMZN $TWTR $FB $NFLX $DIS $SIRI $FNMA $INTC $JPM $CHK $CMCSA $GOOG $PFE $XOM $TSLA $CDII $PUPS \n\nhtt‰Û_')
('2017-04-30 05:55:03', 'RT @PennystocksMega: _ÙÕ´ $PUPS WILL GO KABOOOM NEXT WEEK_ÙÕ´\n\n$AAPL $AMZN $TWTR $FB $NFLX $DIS $SIRI $FNMA $INTC $JPM $CHK $CMCSA $GOOG $PFE $XO‰Û_')
('2017-04-30 05:55:03', 'RT @PennystocksMega: _ÙÕ´ $PUPS WILL GO KABOOOM NEXT WEEK_ÙÕ´\n\n$AAPL $AMZN $TWTR $FB $NFLX $DIS $SIRI $FNMA $INTC $JPM $CHK $CMCSA $GOOG $PFE $XO‰Û_')
('2017-04-30 05:55:02', 'RT @PennystocksMega: _ÙÕ´ $PUPS WILL GO KABOOOM NEXT WEEK_ÙÕ´\n\n$AAPL $AMZN $TWTR $FB $NFLX $DIS $SIRI $FNMA $INTC $JPM $CHK $CMCSA $GOOG $PFE $XO‰Û_')
('2017-04-30 05:55:00', 'RT @StockRockStars: _ÙÕ´ $PUPS WILL GO KABOOOM NEXT WEEK_ÙÕ´\n\n$AAPL $AMZN $TWTR $FB $NFLX $DIS $SIRI $FNMA $INTC $JPM $CHK $CMCSA $GOOG $PFE $XOM‰Û_')
('2017-04-30 05:54:59', 'RT @platinumstock: _ÙÕ´ $PUPS WILL GO KABOOOM NEXT WEEK_ÙÕ´\n\n$AAPL $AMZN $TWTR $FB $NFLX $DIS $SIRI $FNMA $INTC $JPM $CHK $CMCSA $GOOG $PFE $XOM‰Û_')
('2017-04-30 05:54:58', 'RT @platinumstock: _ÙÕ´ $PUPS WILL GO KABOOOM NEXT WEEK_ÙÕ´\n\n$AAPL $AMZN $TWTR $FB $NFLX $DIS $SIRI $FNMA $INTC $JPM $CHK $CMCSA $GOOG $PFE $XOM‰Û_')
('2017-04-30 05:54:57', 'RT @platinumstock: _ÙÕ´ $PUPS WILL GO KABOOOM NEXT WEEK_ÙÕ´\n\n$AAPL $AMZN $TWTR $FB $NFLX $DIS $SIRI $FNMA $INTC $JPM $CHK $CMCSA $GOOG $PFE $XOM‰Û_')
('2017-04-30 05:54:56', 'RT @StockRockStars: _ÙÕ´ $PUPS WILL GO KABOOOM NEXT WEEK_ÙÕ´\n\n$AAPL $AMZN $TWTR $FB $NFLX $DIS $SIRI $FNMA $INTC $JPM $CHK $CMCSA $GOOG $PFE $XOM‰Û_')
('2017-04-30 05:54:56', 'RT @PennystocksMega: _ÙÕ´ $PUPS WILL GO KABOOOM NEXT WEEK_ÙÕ´\n\n$AAPL $AMZN $TWTR $FB $NFLX $DIS $SIRI $FNMA $INTC $JPM $CHK $CMCSA $GOOG $PFE $XO‰Û_')
('2017-04-30 05:54:53', 'RT @platinumstock: _ÙÕ´ $PUPS WILL GO KABOOOM NEXT WEEK_ÙÕ´\n\n$AAPL $AMZN $TWTR $FB $NFLX $DIS $SIRI $FNMA $INTC $JPM $CHK $CMCSA $GOOG $PFE $XOM‰Û_')
('2017-04-30 05:54:53', 'RT @platinumstock: _ÙÕ´ $PUPS WILL GO KABOOOM NEXT WEEK_ÙÕ´\n\n$AAPL $AMZN $TWTR $FB $NFLX $DIS $SIRI $FNMA $INTC $JPM $CHK $CMCSA $GOOG $PFE $XOM‰Û_')
('2017-04-30 05:54:52', 'RT @PennystocksMega: _ÙÕ´ $PUPS WILL GO KABOOOM NEXT WEEK_ÙÕ´\n\n$AAPL $AMZN $TWTR $FB $NFLX $DIS $SIRI $FNMA $INTC $JPM $CHK $CMCSA $GOOG $PFE $XO‰Û_')
('2017-04-30 05:54:51', 'RT @PennystocksMega: _ÙÕ´ $PUPS WILL GO KABOOOM NEXT WEEK_ÙÕ´\n\n$AAPL $AMZN $TWTR $FB $NFLX $DIS $SIRI $FNMA $INTC $JPM $CHK $CMCSA $GOOG $PFE $XO‰Û_')
('2017-04-30 05:54:48', 'RT @platinumstock: _ÙÕ´ $PUPS WILL GO KABOOOM NEXT WEEK_ÙÕ´\n\n$AAPL $AMZN $TWTR $FB $NFLX $DIS $SIRI $FNMA $INTC $JPM $CHK $CMCSA $GOOG $PFE $XOM‰Û_')
('2017-04-30 05:54:47', 'RT @PennystocksMega: _ÙÕ´ $PUPS WILL GO KABOOOM NEXT WEEK_ÙÕ´\n\n$AAPL $AMZN $TWTR $FB $NFLX $DIS $SIRI $FNMA $INTC $JPM $CHK $CMCSA $GOOG $PFE $XO‰Û_')
('2017-04-30 05:54:46', 'RT @platinumstock: _ÙÕ´ $PUPS WILL GO KABOOOM NEXT WEEK_ÙÕ´\n\n$AAPL $AMZN $TWTR $FB $NFLX $DIS $SIRI $FNMA $INTC $JPM $CHK $CMCSA $GOOG $PFE $XOM‰Û_')
('2017-04-30 05:54:45', 'RT @PennystocksMega: _ÙÕ´ $PUPS WILL GO KABOOOM NEXT WEEK_ÙÕ´\n\n$AAPL $AMZN $TWTR $FB $NFLX $DIS $SIRI $FNMA $INTC $JPM $CHK $CMCSA $GOOG $PFE $XO‰Û_')
('2017-04-30 05:54:45', 'RT @PennystocksMega: _ÙÕ´ $PUPS WILL GO KABOOOM NEXT WEEK_ÙÕ´\n\n$AAPL $AMZN $TWTR $FB $NFLX $DIS $SIRI $FNMA $INTC $JPM $CHK $CMCSA $GOOG $PFE $XO‰Û_')
('2017-04-30 05:54:45', 'RT @platinumstock: _ÙÕ´ $PUPS WILL GO KABOOOM NEXT WEEK_ÙÕ´\n\n$AAPL $AMZN $TWTR $FB $NFLX $DIS $SIRI $FNMA $INTC $JPM $CHK $CMCSA $GOOG $PFE $XOM‰Û_')
('2017-04-30 05:54:43', 'RT @platinumstock: _ÙÕ´ $PUPS WILL GO KABOOOM NEXT WEEK_ÙÕ´\n\n$AAPL $AMZN $TWTR $FB $NFLX $DIS $SIRI $FNMA $INTC $JPM $CHK $CMCSA $GOOG $PFE $XOM‰Û_')
('2017-04-30 05:54:42', 'RT @PennystocksMega: _ÙÕ´ $PUPS WILL GO KABOOOM NEXT WEEK_ÙÕ´\n\n$AAPL $AMZN $TWTR $FB $NFLX $DIS $SIRI $FNMA $INTC $JPM $CHK $CMCSA $GOOG $PFE $XO‰Û_')
('2017-04-30 05:54:41', 'RT @StockRockStars: _ÙÕ´ $PUPS WILL GO KABOOOM NEXT WEEK_ÙÕ´\n\n$AAPL $AMZN $TWTR $FB $NFLX $DIS $SIRI $FNMA $INTC $JPM $CHK $CMCSA $GOOG $PFE $XOM‰Û_')
('2017-04-30 05:54:41', 'RT @platinumstock: _ÙÕ´ $PUPS WILL GO KABOOOM NEXT WEEK_ÙÕ´\n\n$AAPL $AMZN $TWTR $FB $NFLX $DIS $SIRI $FNMA $INTC $JPM $CHK $CMCSA $GOOG $PFE $XOM‰Û_')
('2017-04-30 05:54:40', 'RT @platinumstock: _ÙÕ´ $PUPS WILL GO KABOOOM NEXT WEEK_ÙÕ´\n\n$AAPL $AMZN $TWTR $FB $NFLX $DIS $SIRI $FNMA $INTC $JPM $CHK $CMCSA $GOOG $PFE $XOM‰Û_')
('2017-04-30 05:54:38', 'RT @StockRockStars: _ÙÕ´ $PUPS WILL GO KABOOOM NEXT WEEK_ÙÕ´\n\n$AAPL $AMZN $TWTR $FB $NFLX $DIS $SIRI $FNMA $INTC $JPM $CHK $CMCSA $GOOG $PFE $XOM‰Û_')
('2017-04-30 05:54:37', 'RT @StockRockStars: _ÙÕ´ $PUPS WILL GO KABOOOM NEXT WEEK_ÙÕ´\n\n$AAPL $AMZN $TWTR $FB $NFLX $DIS $SIRI $FNMA $INTC $JPM $CHK $CMCSA $GOOG $PFE $XOM‰Û_')
('2017-04-30 05:54:37', 'RT @PennystocksMega: _ÙÕ´ $PUPS WILL GO KABOOOM NEXT WEEK_ÙÕ´\n\n$AAPL $AMZN $TWTR $FB $NFLX $DIS $SIRI $FNMA $INTC $JPM $CHK $CMCSA $GOOG $PFE $XO‰Û_')
('2017-04-30 05:54:37', 'RT @StockRockStars: _ÙÕ´ $PUPS WILL GO KABOOOM NEXT WEEK_ÙÕ´\n\n$AAPL $AMZN $TWTR $FB $NFLX $DIS $SIRI $FNMA $INTC $JPM $CHK $CMCSA $GOOG $PFE $XOM‰Û_')
('2017-04-30 05:54:35', 'RT @platinumstock: _ÙÕ´ $PUPS WILL GO KABOOOM NEXT WEEK_ÙÕ´\n\n$AAPL $AMZN $TWTR $FB $NFLX $DIS $SIRI $FNMA $INTC $JPM $CHK $CMCSA $GOOG $PFE $XOM‰Û_')
('2017-04-30 05:54:30', 'RT @StockRockStars: _ÙÕ´ $PUPS WILL GO KABOOOM NEXT WEEK_ÙÕ´\n\n$AAPL $AMZN $TWTR $FB $NFLX $DIS $SIRI $FNMA $INTC $JPM $CHK $CMCSA $GOOG $PFE $XOM‰Û_')
('2017-04-30 05:54:28', 'RT @platinumstock: _ÙÕ´ $PUPS WILL GO KABOOOM NEXT WEEK_ÙÕ´\n\n$AAPL $AMZN $TWTR $FB $NFLX $DIS $SIRI $FNMA $INTC $JPM $CHK $CMCSA $GOOG $PFE $XOM‰Û_')
('2017-04-30 05:54:27', 'RT @platinumstock: _ÙÕ´ $PUPS WILL GO KABOOOM NEXT WEEK_ÙÕ´\n\n$AAPL $AMZN $TWTR $FB $NFLX $DIS $SIRI $FNMA $INTC $JPM $CHK $CMCSA $GOOG $PFE $XOM‰Û_')
('2017-04-30 05:54:25', 'RT @PennystocksMega: _ÙÕ´ $PUPS WILL GO KABOOOM NEXT WEEK_ÙÕ´\n\n$AAPL $AMZN $TWTR $FB $NFLX $DIS $SIRI $FNMA $INTC $JPM $CHK $CMCSA $GOOG $PFE $XO‰Û_')
('2017-04-30 05:54:24', 'RT @PennystocksMega: _ÙÕ´ $PUPS WILL GO KABOOOM NEXT WEEK_ÙÕ´\n\n$AAPL $AMZN $TWTR $FB $NFLX $DIS $SIRI $FNMA $INTC $JPM $CHK $CMCSA $GOOG $PFE $XO‰Û_')
('2017-04-30 05:54:21', 'RT @PennystocksMega: _ÙÕ´ $PUPS WILL GO KABOOOM NEXT WEEK_ÙÕ´\n\n$AAPL $AMZN $TWTR $FB $NFLX $DIS $SIRI $FNMA $INTC $JPM $CHK $CMCSA $GOOG $PFE $XO‰Û_')
('2017-04-30 05:54:21', 'RT @PennystocksMega: _ÙÕ´ $PUPS WILL GO KABOOOM NEXT WEEK_ÙÕ´\n\n$AAPL $AMZN $TWTR $FB $NFLX $DIS $SIRI $FNMA $INTC $JPM $CHK $CMCSA $GOOG $PFE $XO‰Û_')
('2017-04-30 05:54:21', 'RT @platinumstock: _ÙÕ´ $PUPS WILL GO KABOOOM NEXT WEEK_ÙÕ´\n\n$AAPL $AMZN $TWTR $FB $NFLX $DIS $SIRI $FNMA $INTC $JPM $CHK $CMCSA $GOOG $PFE $XOM‰Û_')
('2017-04-30 05:54:20', 'RT @platinumstock: _ÙÕ´ $PUPS WILL GO KABOOOM NEXT WEEK_ÙÕ´\n\n$AAPL $AMZN $TWTR $FB $NFLX $DIS $SIRI $FNMA $INTC $JPM $CHK $CMCSA $GOOG $PFE $XOM‰Û_')
('2017-04-30 05:54:20', 'RT @PennystocksMega: _ÙÕ´ $PUPS WILL GO KABOOOM NEXT WEEK_ÙÕ´\n\n$AAPL $AMZN $TWTR $FB $NFLX $DIS $SIRI $FNMA $INTC $JPM $CHK $CMCSA $GOOG $PFE $XO‰Û_')
('2017-04-30 05:54:20', 'RT @PennystocksMega: _ÙÕ´ $PUPS WILL GO KABOOOM NEXT WEEK_ÙÕ´\n\n$AAPL $AMZN $TWTR $FB $NFLX $DIS $SIRI $FNMA $INTC $JPM $CHK $CMCSA $GOOG $PFE $XO‰Û_')
('2017-04-30 05:54:19', 'RT @PennystocksMega: _ÙÕ´ $PUPS WILL GO KABOOOM NEXT WEEK_ÙÕ´\n\n$AAPL $AMZN $TWTR $FB $NFLX $DIS $SIRI $FNMA $INTC $JPM $CHK $CMCSA $GOOG $PFE $XO‰Û_')
('2017-04-30 05:54:19', 'RT @PennystocksMega: _ÙÕ´ $PUPS WILL GO KABOOOM NEXT WEEK_ÙÕ´\n\n$AAPL $AMZN $TWTR $FB $NFLX $DIS $SIRI $FNMA $INTC $JPM $CHK $CMCSA $GOOG $PFE $XO‰Û_')
('2017-04-30 05:54:19', 'RT @platinumstock: _ÙÕ´ $PUPS WILL GO KABOOOM NEXT WEEK_ÙÕ´\n\n$AAPL $AMZN $TWTR $FB $NFLX $DIS $SIRI $FNMA $INTC $JPM $CHK $CMCSA $GOOG $PFE $XOM‰Û_')
('2017-04-30 05:54:18', 'RT @platinumstock: _ÙÕ´ $PUPS WILL GO KABOOOM NEXT WEEK_ÙÕ´\n\n$AAPL $AMZN $TWTR $FB $NFLX $DIS $SIRI $FNMA $INTC $JPM $CHK $CMCSA $GOOG $PFE $XOM‰Û_')
('2017-04-30 05:54:18', 'RT @platinumstock: _ÙÕ´ $PUPS WILL GO KABOOOM NEXT WEEK_ÙÕ´\n\n$AAPL $AMZN $TWTR $FB $NFLX $DIS $SIRI $FNMA $INTC $JPM $CHK $CMCSA $GOOG $PFE $XOM‰Û_')
('2017-04-30 05:54:17', 'RT @platinumstock: _ÙÕ´ $PUPS WILL GO KABOOOM NEXT WEEK_ÙÕ´\n\n$AAPL $AMZN $TWTR $FB $NFLX $DIS $SIRI $FNMA $INTC $JPM $CHK $CMCSA $GOOG $PFE $XOM‰Û_')
('2017-04-30 05:54:16', 'RT @platinumstock: _ÙÕ´ $PUPS WILL GO KABOOOM NEXT WEEK_ÙÕ´\n\n$AAPL $AMZN $TWTR $FB $NFLX $DIS $SIRI $FNMA $INTC $JPM $CHK $CMCSA $GOOG $PFE $XOM‰Û_')
('2017-04-30 05:54:15', 'RT @PennystocksMega: _ÙÕ´ $PUPS WILL GO KABOOOM NEXT WEEK_ÙÕ´\n\n$AAPL $AMZN $TWTR $FB $NFLX $DIS $SIRI $FNMA $INTC $JPM $CHK $CMCSA $GOOG $PFE $XO‰Û_')
('2017-04-30 05:54:15', 'RT @PennystocksMega: _ÙÕ´ $PUPS WILL GO KABOOOM NEXT WEEK_ÙÕ´\n\n$AAPL $AMZN $TWTR $FB $NFLX $DIS $SIRI $FNMA $INTC $JPM $CHK $CMCSA $GOOG $PFE $XO‰Û_')
