('2017-04-19 15:59:08'," ""$NFLX below last week's low"")"
('2017-04-18 22:16:19', 'Vicus Capital Takes Position in Netflix Inc. $NFLX https://t.co/15rtW7L4Ys')
('2017-04-18 22:14:15', 'Vicus Capital Invests $208000 in Netflix Inc. $NFLX https://t.co/Jci4mZpbJz #stocks')
('2017-04-18 22:13:53', 'RT @charliebilello: Netflix Revenue growth year-over-year: +35%. $NFLX https://t.co/s33DcWAMZO')
('2017-04-18 22:13:41', 'Vicus Capital Invests $208000 in Netflix Inc. $NFLX https://t.co/z4BWFI69EA')
('2017-04-18 22:12:41', 'Check out these awesome trading systems: https://t.co/SlDMcCQf0c $AAPL $NFLX $TSLA $FB $VIX $DWTI $UWTI $SPY')
('2017-04-18 22:09:44', 'Vicus Capital Invests $208000 in Netflix Inc. $NFLX https://t.co/g7SHcF3S2a')
('2017-04-18 22:06:02', 'Are you Bullish or Bearish on #Netflix? Start #Trading $NFLX with #Bitcoin. 15:1 Leverage. #Cool #Gif #Stocks‰Û_ https://t.co/5TItIYeg50')
('2017-04-18 22:03:12'," ""RT @WallStJesus: _ÙÓ´TODAY'S ACTIVE FLOW &gt;&gt; $BAC $NFLX $AAPL $C $GS $AMZN $FB $X $FCX $JPM $KATE $F $AMD $NVDA $TSLA $BABA $BABA $JNJ $SNAP $G‰Û_"")"
('2017-04-18 22:01:34'," ""RT @marketmodel: Chappelle Sandler etc. \n$NFLX handing out money like it's somebody else's. Oh wait. https://t.co/8AUYtlZV2H"")"
('2017-04-18 21:55:06', 'In the near term $NFLX should take on a more cautious view of the stock https://t.co/qIgw8lKDgW')
('2017-04-18 21:52:58', 'RT @ZachHurwitz: $NFLX and spill -- messy chart but a ton to point out. Intraday and multiday VWAP respect and a much-needed break from the‰Û_')
('2017-04-18 21:52:03', '@markmahaney Thanks for the $NFLX take on TV today. BTW...the blue shirt really suits you. _Ù÷ç')
('2017-04-18 21:51:25', 'RT @racernic: $SPY $NFLX $AAPL and what ever else you want to chat abt. come join us. tons of fun https://t.co/OCAbVFBkfm')
('2017-04-18 21:48:22'," ""$LRCX $NFLX $AMZN $GOOG $VZ $GE $F $XOM"
('2017-04-18 21:48:16', 'Netflix Inc. Earnings: Material Profits Begin @themotleyfool #stocks $NFLX https://t.co/be44KYp3aP')
('2017-04-18 21:44:49'," ""RT @Market: @netflix Netflix has died ... and reincarnated as Wendy's Twitter feed. #sassy $NFLX"")"
('2017-04-18 21:44:35'," ""RT @Market: @netflix Netflix has died ... and reincarnated as Wendy's Twitter feed. #sassy $NFLX"")"
('2017-04-18 21:41:04', 'RT @FoxBusiness: Netflix books biggest drop in 5 months despite #earnings beat $NFLX  https://t.co/YaOp4pio6A')
('2017-04-18 21:39:32', '#Netflix ratings to get even more opaque as Symphony shuts down VideoPulse measurement service.‰Û_ https://t.co/4ocgMCTze5')
('2017-04-18 21:39:26'," ""@Chelseashow And @Netflix is banking their future growth on this drunken whore ? Short $NFLX with everything you've‰Û_ https://t.co/S9mwFgTJpi"")"
('2017-04-18 21:38:00', 'Netflix Inc. $NFLX Receives Neutral Rating from Credit Suisse Group AG https://t.co/R7v969KhuB')
('2017-04-18 21:36:47', 'RT @option_snipper: Protect ur $$ is always BIG priority. If u r not sure about the mkt just sit it out and wait. Play more risk more. $f‰Û_')
('2017-04-18 21:35:25', 'Netflix Inc. $NFLX Receives Outperform Rating from Royal Bank of Canada https://t.co/4gFAwRLJKB')
('2017-04-18 21:34:36', 'Scan results - Expansion Pivot Sell Setup today: $CUDA $CAH $POST $OMC $PGR $JNJ $WWE $UHS $APA $NFLX ... https://t.co/PfIKhMF2ih')
('2017-04-18 21:33:55', 'Watching Netflix at night? Why you might be ‰Û÷sleeping‰Ûª with the enemy $NFLX @netflix https://t.co/7xZkGV7LWn https://t.co/IfPPurH8Ut')
('2017-04-18 21:30:41'," 'Free video w/setups for April 19 ""What To Do Here"" $TMUS $NFLX $BAC $TOL $IBM $TSLA https://t.co/7ubMaiK9Cp')"
('2017-04-18 21:27:54', 'Scan results - Bearish Engulfing today: $DCT $PLD $HRG $FIVE $NFLX $SA $APTI $FMI $STWD ... https://t.co/VmsFgajCoW')
('2017-04-18 21:27:18', 'Netflix $NFLX opens up 4 cents -- its smallest opening gap post-earnings in its history.  Normally gaps up or down‰Û_ https://t.co/I3q5BEuneE')
('2017-04-18 21:27:17'," ""If Netflix $NFLX opens up 78 bps as it's currently trading it will be its smallest earnings gap since 10/23/09 wh‰Û_ https://t.co/m9aAoW6rMv"")"
('2017-04-18 21:27:02', 'RT @charliebilello: Netflix Revenue growth year-over-year: +35%. $NFLX https://t.co/s33DcWAMZO')
('2017-04-18 21:25:29'," ""Tuesday's Upgrades/Downgrades https://t.co/EazkkkdqfJ $BABA $AAPL $MTCH $MCD $NFLX $SYNC $AFL $BUFF $CHKP $CMI $FAST $IACI $OMED $PCAR"")"
('2017-04-18 21:23:57', 'RT @barronstechblog: Apple: Buying Netflix Their Best Bet To Close Services Gap Says Credit Suisse - Tech Trader Daily - $AAPL $NFLX https‰Û_')
('2017-04-18 21:22:54', 'RT @David_Kretzmann: Time for Foolery! Talked earnings from @netflix @united and more on @MarketFoolery today: https://t.co/29VFdgqgHT $N‰Û_')
('2017-04-18 21:21:32'," ""RT @cheddar: Is content @Netflix's only path to growth? For now @LouBasenese says yes. #CheddarLIVE $NFLX https://t.co/irp89X4RZo"")"
('2017-04-18 21:21:21', 'RT @QuiqueSantias: #netflix $nflx shares down 3.8% now after earnings #trading #WallStreet https://t.co/286StgXwVL')
('2017-04-18 21:20:23', 'RT @FoxBusiness: Netflix books biggest drop in 5 months despite #earnings beat $NFLX  https://t.co/YaOp4pio6A')
('2017-04-18 21:19:26', 'Protect ur $$ is always BIG priority. If u r not sure about the mkt just sit it out and wait. Play more risk more. $fb $googl $nflx $aapl.')
('2017-04-18 21:18:28', 'https://t.co/34J6bo1JzD $QQQ $SPY $TSLA $NFLX $JNUG $NUGT $UWT $DWT $CBLI Overtrading #stocks when  #daytrading is‰Û_ https://t.co/LOlOexrZOR')
('2017-04-18 21:18:14', 'RT @option_snipper: Said ystd this whole pop-up $spx along w/ techs $fb $amzn $googl $nflx perfect timing to short not long. Wait for clea‰Û_')
('2017-04-18 21:17:24', 'Said ystd this whole pop-up $spx along w/ techs $fb $amzn $googl $nflx perfect timing to short not long. Wait for‰Û_ https://t.co/dtSsyFZWpr')
('2017-04-18 21:16:43', 'Tickers trending on TWTR in last 1 hour #financialplanning $Blockchain $IBM $NFLX $Yahoo https://t.co/qE1nNknVy2 https://t.co/4L9Eyp0FmH')
('2017-04-18 21:12:03', 'RT @FoxBusiness: Netflix books biggest drop in 5 months despite #earnings beat $NFLX  https://t.co/YaOp4pio6A')
('2017-04-18 21:11:03', '$nflx $100 are we there yet?')
('2017-04-18 21:10:16', 'RT @charliebilello: Netflix Revenue growth year-over-year: +35%. $NFLX https://t.co/s33DcWAMZO')
('2017-04-18 21:07:39'," 'RT @traderstewie: Good or bad so far the theme is ""sell the earnings news"". \n\n$GS  $NFLX $JNJ for example')"
('2017-04-18 21:07:10', '@HedgeStrategy @WallStreeTopGun You can listen to the $NFLX earnings call with @BorsaHQ https://t.co/gPH2HA02zp pla‰Û_ https://t.co/5BHyG1gatC')
('2017-04-18 21:05:27', '@WallStreeTopGun We had positions in both $NFLX and $IBM on short side.')
('2017-04-18 21:04:44'," ""Today's top traded #SP500 #stocks by dollar value: #BankofAmerica #NetFlix #Amazon- $BAC $NFLX $AMZN #stocks #stockmarket #SPX"")"
('2017-04-18 21:04:37', '$supn  sold out of $nflx  $BAC $AGn  $ALIM    ALL in $SUPN.   buyout target.')
('2017-04-18 21:04:26', 'RT @charliebilello: Netflix Revenue growth year-over-year: +35%. $NFLX https://t.co/s33DcWAMZO')
('2017-04-18 21:03:09', 'RT @WallStreeTopGun: All these bullish reports like $NFLX $GS and $IBM just make me want to leverage up and buy everything. #Woohoo #Bullis‰Û_')
('2017-04-18 21:02:21'," ""RT @VictoriaCraig: #Netflix shares also falling the most in five months despite last night's earnings beat. $NFLX \n\nMore: https://t.co/daIB‰Û_"")"
('2017-04-18 21:01:51'," ""RT @bespokeinvest: If Netflix $NFLX opens up 78 bps as it's currently trading it will be its smallest earnings gap since 10/23/09 when it‰Û_"")"
('2017-04-18 21:01:00', '@OreoCap $amzn and $nflx')
('2017-04-18 21:00:39', '#XRIM #MONEY FoxBusiness\n\nNetflix books biggest drop in 5 months despite #earnings beat $NFLX https://t.co/XbWqveOORo\n\n‰ÛÓ FOX Business (Fox‰Û_')
('2017-04-18 21:00:02', 'Netflix books biggest drop in 5 months despite #earnings beat $NFLX  https://t.co/YaOp4pio6A')
('2017-04-18 20:58:28', 'RT @WallStreeTopGun: All these bullish reports like $NFLX $GS and $IBM just make me want to leverage up and buy everything. #Woohoo #Bullis‰Û_')
('2017-04-18 20:53:24', 'Track trending assets in 1 watchlist #financialplanners #frenchelections $Blockchain $IBM $NFLX‰Û_ https://t.co/gRgOcCjXOE')
('2017-04-18 20:52:18', 'Netflix Revenue growth year-over-year: +35%. $NFLX https://t.co/s33DcWAMZO')
('2017-04-18 20:49:03', 'Realized P&amp;L For 4/18 https://t.co/6iqEFC8rJl $NFLX $IDGX $UCO')
('2017-04-18 20:47:20', 'RT @arturoamaya: Hello Tuesday #EarningsSeason will be bored $nflx $cbi $jnj')
('2017-04-18 20:45:50', 'RT @arturoamaya: Hello Tuesday #EarningsSeason will be bored $nflx $cbi $jnj')
('2017-04-18 20:44:24', '$NFLX stock price is down over 2% after disappointing #WallStreet #closingbell #Netflix')
('2017-04-18 20:44:05', 'RT @arturoamaya: Hello Tuesday #EarningsSeason will be bored $nflx $cbi $jnj')
('2017-04-18 20:42:19', 'RT @arturoamaya: Hello Tuesday #EarningsSeason will be bored $nflx $cbi $jnj')
('2017-04-18 20:42:12', 'RT @WallStreeTopGun: All these bullish reports like $NFLX $GS and $IBM just make me want to leverage up and buy everything. #Woohoo #Bullis‰Û_')
('2017-04-18 20:41:25', 'All these bullish reports like $NFLX $GS and $IBM just make me want to leverage up and buy everything. #Woohoo #BullishnessEverywhere')
('2017-04-18 20:40:59', 'RT @arturoamaya: Hello Tuesday #EarningsSeason will be bored $nflx $cbi $jnj')
('2017-04-18 20:40:36'," 'Market Review: 4-18-17\n\n""Stocks end lower; story of the day were bonds..""\n\nReport: https://t.co/GO6cn4Fz3A \n\n$KATE‰Û_ https://t.co/T5GMUtlp1L')"
('2017-04-18 20:40:33', 'Brutal day for $nflx. https://t.co/BSsQBvakoB')
('2017-04-18 20:40:05'," ""RT @VictorZubarev: $NFLX Daily bar\n#MurreyMath\ntoday's range \nMM 8/8ths=169.00\nMM 0/8ths=144.00\nMM -1/8ths=140.875&lt;&lt;&lt;\n\nActual Low and rever‰Û_"")"
('2017-04-18 20:39:07', 'RT @arturoamaya: Hello Tuesday #EarningsSeason will be bored $nflx $cbi $jnj')
('2017-04-18 20:38:54'," ""RT @VictoriaCraig: #Netflix shares also falling the most in five months despite last night's earnings beat. $NFLX \n\nMore: https://t.co/daIB‰Û_"")"
('2017-04-18 20:36:30', '$NFLX held swing low but not looking good going forward https://t.co/gAIQm3TVha')
('2017-04-18 20:36:03', 'On The Fly: Top stock stories for Tuesday $GS $BAC $JNJ $NFLX $FB $GNC $CAB $SNV $COF $CUDA $CAH $MDT https://t.co/dRkXAIHqqi')
('2017-04-18 20:35:57', 'RT @arturoamaya: Hello Tuesday #EarningsSeason will be bored $nflx $cbi $jnj')
('2017-04-18 20:34:23', 'RT @arturoamaya: Hello Tuesday #EarningsSeason will be bored $nflx $cbi $jnj')
('2017-04-18 20:33:31', 'RT @raymond10mm: $spx $nasdaq $es_f $nq_f $zb_f $cl_f $gc_f $aapl $jpm $googl $amzn $nflx $amzn $tsla $nvda $baba $gs $jpm $v Quote from Fl‰Û_')
('2017-04-18 20:32:46', 'RT @arturoamaya: Hello Tuesday #EarningsSeason will be bored $nflx $cbi $jnj')
('2017-04-18 20:31:53', 'RT @David_Kretzmann: Time for Foolery! Talked earnings from @netflix @united and more on @MarketFoolery today: https://t.co/29VFdgqgHT $N‰Û_')
('2017-04-18 20:30:47', 'RT @arturoamaya: Hello Tuesday #EarningsSeason will be bored $nflx $cbi $jnj')
('2017-04-18 20:30:41', 'Tickers trending on TWTR in last 1 hour #fintech #frenchelections $Blockchain $NFLX $TSLA https://t.co/qBmWTXBXND https://t.co/IifWPFzXWK')
('2017-04-18 20:30:35', '$spx $nasdaq $es_f $nq_f $zb_f $cl_f $gc_f $aapl $jpm $googl $amzn $nflx $amzn $tsla $nvda $baba $gs $jpm $v Quote‰Û_ https://t.co/cywWog3wWp')
('2017-04-18 20:29:34', 'RT @arturoamaya: Hello Tuesday #EarningsSeason will be bored $nflx $cbi $jnj')
('2017-04-18 20:27:57', 'RT @arturoamaya: Hello Tuesday #EarningsSeason will be bored $nflx $cbi $jnj')
('2017-04-18 20:26:17', 'Time for Foolery! Talked earnings from @netflix @united and more on @MarketFoolery today: https://t.co/29VFdgqgHT $NFLX $UAL')
('2017-04-18 20:26:06', 'RT @arturoamaya: Hello Tuesday #EarningsSeason will be bored $nflx $cbi $jnj')
('2017-04-18 20:23:42', 'RT @arturoamaya: Hello Tuesday #EarningsSeason will be bored $nflx $cbi $jnj')
('2017-04-18 20:23:20', '(1 of 1)  $NFLX earnings biggest news with a pre-announce rush with confidence net sub growth in U.S. is a low bar')
('2017-04-18 20:22:02', 'RT @arturoamaya: Hello Tuesday #EarningsSeason will be bored $nflx $cbi $jnj')
('2017-04-18 20:20:28', 'RT @arturoamaya: Hello Tuesday #EarningsSeason will be bored $nflx $cbi $jnj')
('2017-04-18 20:18:32', 'RT @arturoamaya: Hello Tuesday #EarningsSeason will be bored $nflx $cbi $jnj')
('2017-04-18 20:17:47', 'Hello Tuesday #EarningsSeason will be bored $nflx $cbi $jnj')
('2017-04-18 20:17:26', 'RT @Osirustwits: $NFLX could have sold more &amp; closer to the money took the high IV trade low risk #Option #Trade #LowHangingFruit @Ascend_T‰Û_')
('2017-04-18 20:16:48', 'Massive profit locking about to happen. Everybody will be rushing for the exit very soon. $VIX $QQQ $SPY $AAPL $SNAP $MSFT $FB $NFLX $TSLA')
('2017-04-18 20:15:03', 'RT @barronstechblog: Tech Today: Netflix Recovers AMD and Nvidia Recover Defending Amazon‰Ûªs Spend - Tech Trader Daily -$AMD $NFLX $NVDA h‰Û_')
('2017-04-18 20:14:45', 'RT @barronstechblog: Apple: Buying Netflix Their Best Bet To Close Services Gap Says Credit Suisse - Tech Trader Daily - $AAPL $NFLX https‰Û_')
('2017-04-18 20:14:24', 'RT @TheStreet: In the near term $NFLX should take on a more cautious view of the stock https://t.co/3yGjulQ09Z')
('2017-04-18 20:13:24', 'RT @ihors3: Netflix Short Interest at $3.6 Billion Prior to 1st Quarter Earnings Report #netflix $NFLX @GunjanJS @S3Partners  https://t.co/‰Û_')
('2017-04-18 20:12:43'," ""RT @MinteractApp: Today's million dollar CALL #options trade:\n$AMZN $TSLA $MON $AKRX $BAC $NVDA $NFLX $BABA $SHOP $SVXY $GOOG ...\nhttps://t‰Û_"")"
('2017-04-18 20:12:35', 'Netflix‰Ûªs $NFLX Neutral Rating Reaffirmed at Rosenblatt Securities https://t.co/yMgUZlzouz')
('2017-04-18 20:12:10', 'Gain from movement in these buzzing assets #frenchelections $Blockchain $GBPUSD $NFLX $TSLA https://t.co/Uc8GsQKWLr https://t.co/XjLjX16Gtu')
('2017-04-18 20:11:58', '$IBM ROADMAP is in media tab along with $NFLX and $GS posted today. https://t.co/R9fc6zKJPk')
('2017-04-18 20:10:18', '$NFLX maturity 04/21/2017 Vol PutCallRatio of 0.98 puts=87071 calls=89010 . https://t.co/x6H2A75Vm5 https://t.co/L2RWZCMQG2')
('2017-04-18 20:10:16'," ""If I had any testicles I's short $AMZN and $NFLX at current levels. Both are in highly competitive businesses and have no moat."")"
('2017-04-18 20:10:14'," 'RT @option_snipper: Funny to see lots of ""chartists"" make judgment ONLY based on DAILY charts... check weekly &amp; monthly w/ BOLL $TSLA $CMG‰Û_')"
('2017-04-18 20:09:36', 'Netflix‰Ûªs $NFLX Neutral Rating Reaffirmed at Rosenblatt Securities https://t.co/9zvwle09dA #acn')
('2017-04-18 20:09:05', '$NFLX $AAPL $TWX $DIS:\n\nApple Services Will Lift Profit Margins But Video Offering Needed:\n\nhttps://t.co/hZV0dMnCnd')
('2017-04-18 20:08:33', 'RT @crossdefault: sent to me by a friend: \n\nuh oh time? $NFLX https://t.co/NJUJJIBLiv')
('2017-04-18 20:08:24', 'Try The DSuite Today For Just $1: https://t.co/t32MjEAKI8 $IBM $GS $BAC $WFC $AMZN $NFLX $FB $GLD $GDX $SLV $USO‰Û_ https://t.co/5JY3M0hy3k')
('2017-04-18 20:08:24'," ""RT @VictoriaCraig: #Netflix shares also falling the most in five months despite last night's earnings beat. $NFLX \n\nMore: https://t.co/daIB‰Û_"")"
('2017-04-18 20:08:09', '$GS $JNJ $NFLX:\n\nUS stocks closer lower as Goldman J&amp;J disappoint with their results:\n\nhttps://t.co/ieR77Rls2V')
('2017-04-18 20:07:48'," ""#Netflix shares also falling the most in five months despite last night's earnings beat. $NFLX \n\nMore:‰Û_ https://t.co/XJx6h0ErzA"")"
('2017-04-18 20:06:25', 'hold $HTA $CRM\nSold $EDIT $HTA\n$NFLX flip')
('2017-04-18 20:06:04'," ""Today's million dollar PUT #options trade:\n$SVXY $GILD $CVX $BAC $GNC $MCK $NFLX $TSLA $AMZN $PI $LYB ...\nhttps://t.co/ORtVUPaBpX"")"
('2017-04-18 20:06:02'," ""Today's million dollar CALL #options trade:\n$AMZN $TSLA $MON $AKRX $BAC $NVDA $NFLX $BABA $SHOP $SVXY $GOOG ...\nhttps://t.co/ORtVUPaBpX"")"
('2017-04-18 20:05:05', 'Top #moneyflow for #sp500 today\n$GS $BAC $CMCSA $PFE $JNJ $GE $NVDA $AIG $NFLX $PGR ...\nhttps://t.co/S59zN0R1wP')
('2017-04-18 20:05:04', 'Netflix Inc. $NFLX Receives Hold Rating from BMO Capital Markets https://t.co/VExBWbR5lZ')
('2017-04-18 20:05:03', 'Top #moneyflow for #nasdaq today\n$CMCSA $NVDA $NFLX $WFM $QCOM $GILD $AMGN $STX $CSCO $ESRX ...\nhttps://t.co/S59zN0R1wP')
('2017-04-18 20:04:32', 'Netflix Inc. $NFLX PT Raised to $165.00 https://t.co/v96tcq1mQ9')
('2017-04-18 20:04:18', 'Apple: Buying Netflix Their Best Bet To Close Services Gap Says Credit Suisse $AAPL $NFLX https://t.co/JtlK9bEChL https://t.co/IfPPurH8Ut')
('2017-04-18 20:03:29'," ""RT @WallStJesus: _ÙÓ´TODAY'S ACTIVE FLOW &gt;&gt; $BAC $NFLX $AAPL $C $GS $AMZN $FB $X $FCX $JPM $KATE $F $AMD $NVDA $TSLA $BABA $BABA $JNJ $SNAP $G‰Û_"")"
('2017-04-18 20:03:18', 'RT @barronstechblog: Apple: Buying Netflix Their Best Bet To Close Services Gap Says Credit Suisse - Tech Trader Daily - $AAPL $NFLX https‰Û_')
('2017-04-18 20:02:31', 'RT @FoxBusiness: 13 reasons why @Netflix will have to bounce back in 2Q #earnings $NFLX  https://t.co/GrXuCHahKH')
('2017-04-18 20:01:20', '$NFLX -264% $BAC -044%')
('2017-04-18 19:59:15', 'Covered my Short $NFLX Weekly 148-149 Call Spread from $.50 credit for $.05 Another Earnings Winner')
('2017-04-18 19:58:08', '$NFLX Feels like this is waiting on some other piece of information this small of a move is very uncharacteristic.')
('2017-04-18 19:56:56', 'RT @barronstechblog: Apple: Buying Netflix Their Best Bet To Close Services Gap Says Credit Suisse - Tech Trader Daily - $AAPL $NFLX https‰Û_')
('2017-04-18 19:56:29'," ""$NFLX's subscriber growth falls short in Q1 https://t.co/eDjCODSKQM"")"
('2017-04-18 19:56:25'," ""$NFLX nasty pre-mkt and crazy intraday ..... I'm flat and safe holly cow _Ùê¨ #tradesafe"")"
('2017-04-18 19:55:36'," ""RT @TheStreet: Hollywood has some rules. And if you don't want to play by their rules you take a big risk https://t.co/sIpttVBSJe $NFLX"")"
('2017-04-18 19:53:40', 'Sold $NFLX IC on 3/28 for $1.41 bought today at $.42 Thank you volatility!! @Tony_BATtista @thetastyworks @tastytrade #PISTA')
('2017-04-18 19:53:37', 'RT @barronstechblog: Apple: Buying Netflix Their Best Bet To Close Services Gap Says Credit Suisse - Tech Trader Daily - $AAPL $NFLX https‰Û_')
('2017-04-18 19:53:24', '$NFLX net assets: $14B\n$NFLX content obligations: $15B https://t.co/hEBy3dOHBt')
('2017-04-18 19:53:12', 'A acquisition of $DIS or ESPN just will not happen. now $NFLX on the other hand is stil crazy but less so then $DIS')
('2017-04-18 19:51:02', 'These assets are seeing a jump in tweets #frenchelections $Blockchain $GBPUSD $NFLX $TSLA https://t.co/Uc8GsQKWLr https://t.co/L8YBB6thRS')
('2017-04-18 19:51:02'," ""Hollywood has some rules. And if you don't want to play by their rules you take a big risk https://t.co/sIpttVBSJe $NFLX"")"
('2017-04-18 19:50:13', 'Time for Caution on Netflix https://t.co/9Cz06aV54V $nflx #stockmarket #stocks')
('2017-04-18 19:49:25', 'RT @barronstechblog: Apple: Buying Netflix Their Best Bet To Close Services Gap Says Credit Suisse - Tech Trader Daily - $AAPL $NFLX https‰Û_')
('2017-04-18 19:46:50'," 'RT @traderstewie: Good or bad so far the theme is ""sell the earnings news"". \n\n$GS  $NFLX $JNJ for example')"
('2017-04-18 19:46:46', 'Despite $GS $NFLX $CUDA $JNJ $HOG $UAL $PGR etc.
('2017-04-18 19:46:45', 'RT @bespokeinvest: In its 59 previous EPS reports since July 2002 Netflix has only gapped up or down less than 2% just 8 times. $NFLX #EPS‰Û_')
('2017-04-18 19:46:33'," ""RT @bespokeinvest: If Netflix $NFLX opens up 78 bps as it's currently trading it will be its smallest earnings gap since 10/23/09 when it‰Û_"")"
('2017-04-18 19:46:07', '@crossdefault Does this mean $NFLX is spending ~$110 per new subscriber? All they do is send me an email for month‰Û_ https://t.co/7EeNeHVSbk')
('2017-04-18 19:45:33', 'Short Position in NFLX After Earnings Miss $NFLX https://t.co/ZjN1eqDilV TV_TradingIdeas')
('2017-04-18 19:45:30'," ""Is content @Netflix's only path to growth? For now @LouBasenese says yes. #CheddarLIVE $NFLX https://t.co/irp89X4RZo"")"
('2017-04-18 19:43:16', '$AAPL $NFLX $DIS:\n\nApple: Buying Netflix Their Best Bet To Close Services Gap Says ‰Û_:\n\nhttps://t.co/YNGdIjKfrz')
('2017-04-18 19:43:15', 'Apple: Buying Netflix Their Best Bet To Close Services Gap Says Credit Suisse - Tech Trader Daily - $AAPL $NFLX https://t.co/uuOqJsPX2E')
('2017-04-18 19:43:12', 'RT @TheStreet: In the near term $NFLX should take on a more cautious view of the stock https://t.co/3yGjulQ09Z')
('2017-04-18 19:42:23', 'DDD close to hard to borrow here whilst SSYS liftoff \nonly 2393 shares available at IB\n&gt;20% of float short  $SPy $SPX $SSYS $IWM $INDU $NFLX')
('2017-04-18 19:40:44', 'Short Position in NFLX After Earnings Miss $NFLX https://t.co/oub0PJ8qGS')
('2017-04-18 19:38:30', '@petenajarian bought that $160 $NFLX call to cover buy write  sold for net $1.96 cost me $.15 to get out comm inc. have to find another spot')
('2017-04-18 19:36:47', '#Netflix subscriber growth falls short of estimates https://t.co/Y4wPVbXLlT $NFLX')
('2017-04-18 19:35:32', 'Bo Dikeman placed an order to buy Netflix Inc. $NFLX\nhttps://t.co/YUeG9wSLml')
('2017-04-18 19:34:22', 'See why these assets are trending in 1 watchlist $Blockchain $GBPUSD $NFLX $UNH https://t.co/wCmTfA6meJ https://t.co/SG3epJ6mku')
('2017-04-18 19:33:39', '$NFLX will be 135 by this time next week.  Funds will begin exiting this stock.')
('2017-04-18 19:30:09', 'RT @SeekingAlpha: Netflix: A Q1 Sell-Off Could Be A Buying Opportunity https://t.co/kbT1kjaY20 $NFLX')
('2017-04-18 19:30:01', '$NFLX https://t.co/26eNzvJeme https://t.co/gzSnn7t4Qr')
('2017-04-18 19:29:13', '$NFLX https://t.co/26eNzvJeme  This is just the beginning of a massive decline = SELL NOW!')
('2017-04-18 19:28:19'," ""@selling_theta $NFLX didn't do it..."")"
('2017-04-18 19:24:41', 'Advancers: $DY $TLT $GNC $AKTX $AMZN $KMX $WFM $DATA
('2017-04-18 19:24:41', 'YouTube Is Worth $_____. How Does It Compare to Other Dot-Com Businesses? $FB $NFLX $YHOO $TWTR $AMZN $GOOG $GOOGL https://t.co/2dXDYwNs4E')
('2017-04-18 19:24:21', 'Netflix Reported better-than-expected Earnings in the first quarter\n#Netflix $NFLX $NASDAQ #financialresults... https://t.co/BHmup79MbV')
('2017-04-18 19:23:31', 'About to go live on @cheddar #CheddarLIVE Tune in if you can. $FB $AAPL $NFLX $SNAP https://t.co/xic0DR4R3g')
('2017-04-18 19:19:27', 'Surprise! Avoid These 3 Stocks Like The Plague https://t.co/mnNN5CnzAQ $AMZN $NFLX $TSLA #valuations #price #stocks')
('2017-04-18 19:18:42', 'Surprise! Avoid These 3 Stocks Like The Plague https://t.co/EP802aVCh3 $AMZN $NFLX $TSLA #valuations #price #stocks https://t.co/R8kYTo9V96')
('2017-04-18 19:18:42', 'Surprise! Avoid These 3 Stocks Like The Plague https://t.co/HXtDNCYknz $AMZN $NFLX $TSLA #valuations #price #stocks https://t.co/8wa0YwP924')
('2017-04-18 19:18:25', 'Go Long Netflix for Free $NFLX - https://t.co/AXX3RSOyT3')
('2017-04-18 19:17:54', 'RT @DayTradersGroup: $AMD call options.50 from #timestamped buy alert @ .35 - noteworthy options vol in: $IWM $BAC $SPY $FB $FXI $NFLX $GS‰Û_')
('2017-04-18 19:17:24', 'interesting $NFLX 140 day low -- could it get to the 136 area ..this week ?\n135.60 = 100 day EMA https://t.co/PelAEu2heW')
('2017-04-18 19:16:24', 'Go Long Netflix for Free $NFLX - https://t.co/KbdfwdUoQy')
('2017-04-18 19:15:03'," ""$NFLX Daily bar\n#MurreyMath\ntoday's range \nMM 8/8ths=169.00\nMM 0/8ths=144.00\nMM -1/8ths=140.875&lt;&lt;&lt;\n\nActual Low and reverse at 140.00\n@vxx46"")"
('2017-04-18 19:15:02', 'RT @FoxBusiness: #StockAlert - Netflix says it expects to cross the 100 million member mark this weekend. #Earnings $NFLX https://t.co/xuO8‰Û_')
('2017-04-18 19:15:02', 'Wondering about #sentiment indicator for $NFLX? The Short Ratio is 5.24% https://t.co/RH4e4PjU5x')
('2017-04-18 19:12:12', 'RT @TheStreet: In the near term $NFLX should take on a more cautious view of the stock https://t.co/3yGjulQ09Z')
('2017-04-18 19:10:57', 'RT @crossdefault: sent to me by a friend: \n\nuh oh time? $NFLX https://t.co/NJUJJIBLiv')
('2017-04-18 19:10:16', '$NFLX has broken up through the resistance at $144 This predicts a further rise the volume balance is positive and‰Û_ https://t.co/N4DshrLyK5')
('2017-04-18 19:10:02', 'RT @TheStreet: In the near term $NFLX should take on a more cautious view of the stock https://t.co/3yGjulQ09Z')
('2017-04-18 19:08:05', 'In the near term $NFLX should take on a more cautious view of the stock https://t.co/3yGjulQ09Z')
('2017-04-18 19:07:37', 'This making more sense after $NFLX?\n\nWill Big Tech Lead a Mid-year Correction? $AAPL $FB\nhttps://t.co/54ozMgvb3T')
('2017-04-18 19:07:16'," ""Big bank correction! Today's trades: $TVIX $NFLX $MTB $GS $CAH $BAC (see charts) Open: $GS $WIX $NFLX"
('2017-04-18 19:04:49'," ""$NFLX Let's all lack at Benjo and Nick now . One two three...LAUGH!!!"")"
('2017-04-18 19:04:43'," ""Indonesia's Telkom is in talks to team up with $NFLX. https://t.co/hedt2Ps9Cl #OTT"")"
