('2017-04-17 15:59:15'," ""@ScottWapnerCNBC $AMZN crushes everyone they compete with.  $NFLX will be AMAZON'S next victim."")"
('2017-04-17 12:49:53', '$NFLX will our fave piggy turn into a TRAIN? LOL #stocks #tradeideas #investing')
('2017-04-17 12:48:13', 'RT @JustinPulitzer: Weekend Review Video 4/16: $VIX $TLT $GLD $SLV $IBB $SPY $IWM $QQQ $MSFT $AAPL $AMZN $FB $NFLX $TSLA $CAT $IBM $QCOM ht‰Û_')
('2017-04-17 12:47:26', 'Top Earnings Mon 4/17 Aft: $BRO $CE $CUDA $ELS $FDF $NFLX $PNFP $REED $SFBS $UAL')
('2017-04-17 12:47:00', '#money making #Monday! $NFLX $YHOO $TTS $VIVE #Earnings $SAPMF $NEE $KSU $GE $COL $CHK $GNTX $BGG!!! $BAS $IIIN!!!‰Û_ https://t.co/SREXegMSCG')
('2017-04-17 12:46:40', 'RT @StockTwits: EARNINGS THIS WEEK\n\nMon - $NFLX $UAL\nTue - $BAC $GS $IBM $JNJ\nWed - $QCOM $MS $AXP\nThu - $VZ $V $BX\nFri - $GE $HON\n\nhttps:/‰Û_')
('2017-04-17 12:46:17', 'Stock levels/ pivots to watch today:  $AAPL $FB $GOOGL $AMZN $NFLX https://t.co/5WpBKzLHdW')
('2017-04-17 12:44:47'," ""_ÙÓ_ ER's to watch this week. Some Banks. _ÙÔà\n$SPX $SPY $NFLX $IBM $YHOO $BAC $MS $GS $V $EBAY $QCOM $GE https://t.co/HswnZ8ukEH"")"
('2017-04-17 12:44:41', 'StockTwits: EARNINGS THIS WEEK\n\nMon - $NFLX $UAL\nTue - $BAC $GS $IBM $JNJ\nWed - $QCOM $MS $AXP\nThu - $VZ $V $BX\nFr‰Û_ https://t.co/L7xF0M5qBq')
('2017-04-17 12:44:11', '$NFLX and $GILD are significant Pre-Market Gainers this AM on SpeculatingStocks Pre-Market https://t.co/ayAi1CAXh9 https://t.co/0o1pe96jj0')
('2017-04-17 12:43:58', '#Earnings reports after the close:\n$CUDA $BRO $CE $CTO $ELS $NFLX $PNFP $SFBS $UAL\n#stocks https://t.co/oaS2isuxQR')
('2017-04-17 12:43:04', 'StockTwits: EARNINGS THIS WEEK\n\nMon - $NFLX $UAL\nTue - $BAC $GS $IBM $JNJ\nWed - $QCOM $MS $AXP\nThu - $VZ $V $BX\nFr‰Û_ https://t.co/4hK8XJBWt7')
('2017-04-17 12:42:27', 'RT @StockTwits: EARNINGS THIS WEEK\n\nMon - $NFLX $UAL\nTue - $BAC $GS $IBM $JNJ\nWed - $QCOM $MS $AXP\nThu - $VZ $V $BX\nFri - $GE $HON\n\nhttps:/‰Û_')
('2017-04-17 12:41:35', 'RT @StockTwits: EARNINGS THIS WEEK\n\nMon - $NFLX $UAL\nTue - $BAC $GS $IBM $JNJ\nWed - $QCOM $MS $AXP\nThu - $VZ $V $BX\nFri - $GE $HON\n\nhttps:/‰Û_')
('2017-04-17 12:41:29', 'RT @StockTwits: EARNINGS THIS WEEK\n\nMon - $NFLX $UAL\nTue - $BAC $GS $IBM $JNJ\nWed - $QCOM $MS $AXP\nThu - $VZ $V $BX\nFri - $GE $HON\n\nhttps:/‰Û_')
('2017-04-17 12:40:41'," ""$NFLX: Last couple of days intraday action suggests bearish bias to further continue. Let's see what today brings on https://t.co/3DIKZE0p34"")"
('2017-04-17 12:39:23', 'RT @StockTwits: EARNINGS THIS WEEK\n\nMon - $NFLX $UAL\nTue - $BAC $GS $IBM $JNJ\nWed - $QCOM $MS $AXP\nThu - $VZ $V $BX\nFri - $GE $HON\n\nhttps:/‰Û_')
('2017-04-17 12:38:32', 'RT @StockTwits: EARNINGS THIS WEEK\n\nMon - $NFLX $UAL\nTue - $BAC $GS $IBM $JNJ\nWed - $QCOM $MS $AXP\nThu - $VZ $V $BX\nFri - $GE $HON\n\nhttps:/‰Û_')
('2017-04-17 12:37:53', 'RT @Craig_Tolliver: The Tech Sector and a Longer-Term Look at SP 500 Earnings https://t.co/SCgdGDpbjS $NFLX $EBAY $IBM $QCOM $SPX #technolo‰Û_')
('2017-04-17 12:37:04'," ""RT @WrigleyTom: ER's\n$AXP $BAC $CSX $EBAY $GS $GE $GPC $HON $HOG\n$IBM $ISRG $JNJ $LRCX $MS $MXIM $NFLX $PFPT\n$QCOM $STLD $SHW $SNA $SKX $UA‰Û_"")"
('2017-04-17 12:36:11', 'RT @StockTwits: EARNINGS THIS WEEK\n\nMon - $NFLX $UAL\nTue - $BAC $GS $IBM $JNJ\nWed - $QCOM $MS $AXP\nThu - $VZ $V $BX\nFri - $GE $HON\n\nhttps:/‰Û_')
('2017-04-17 12:36:03', 'RT @StockTwits: EARNINGS THIS WEEK\n\nMon - $NFLX $UAL\nTue - $BAC $GS $IBM $JNJ\nWed - $QCOM $MS $AXP\nThu - $VZ $V $BX\nFri - $GE $HON\n\nhttps:/‰Û_')
('2017-04-17 12:35:57', 'EARNINGS THIS WEEK\n\nMon - $NFLX $UAL\nTue - $BAC $GS $IBM $JNJ\nWed - $QCOM $MS $AXP\nThu - $VZ $V $BX\nFri - $GE $HON\n\nhttps://t.co/FpIl9f4Qss')
('2017-04-17 12:34:59', 'RT @androsForm: Pre-Market Movers - $BAC $INCY $LLY $MGI $BABA $QCOM $NFLX $MS $AAPL https://t.co/LKXp69SNNE')
('2017-04-17 12:34:38'," ""RT @WrigleyTom: ER's\n$AXP $BAC $CSX $EBAY $GS $GE $GPC $HON $HOG\n$IBM $ISRG $JNJ $LRCX $MS $MXIM $NFLX $PFPT\n$QCOM $STLD $SHW $SNA $SKX $UA‰Û_"")"
('2017-04-17 12:34:30', 'RT @androsForm: Pre-Market Movers - $BAC $INCY $LLY $MGI $BABA $QCOM $NFLX $MS $AAPL https://t.co/LKXp69SNNE')
('2017-04-17 12:34:24', 'Action List for Monday April 17 2017 https://t.co/mjcFvbmp7n $AAPL $X $AKS $MU $AMD $NVDA $NFLX $INTC $MSFT https://t.co/lz5I8RIxwl')
('2017-04-17 12:33:56', 'Benzinga: A Peek Into The Markets: U.S. Stock Futures Edge Lower; Netflix Earnings In Focus https://t.co/gLdbdmS0qj $MGI $ALR $CSIQ $NFLX ‰Û_')
('2017-04-17 12:33:54', 'RT @androsForm: Pre-Market Movers - $BAC $INCY $LLY $MGI $BABA $QCOM $NFLX $MS $AAPL https://t.co/LKXp69SNNE')
('2017-04-17 12:33:40', 'RT @androsForm: Pre-Market Movers - $BAC $INCY $LLY $MGI $BABA $QCOM $NFLX $MS $AAPL https://t.co/LKXp69SNNE')
('2017-04-17 12:33:29', 'RT @androsForm: Pre-Market Movers - $BAC $INCY $LLY $MGI $BABA $QCOM $NFLX $MS $AAPL https://t.co/LKXp69SNNE')
('2017-04-17 12:31:32', 'RT @androsForm: Pre-Market Movers - $BAC $INCY $LLY $MGI $BABA $QCOM $NFLX $MS $AAPL https://t.co/LKXp69SNNE')
('2017-04-17 12:30:37', 'Is Netflix Inc. $NFLX Setting Up Well for a Long Into Earnings? https://t.co/x0rRo0dFE3')
('2017-04-17 12:30:36', 'RT @androsForm: Pre-Market Movers - $BAC $INCY $LLY $MGI $BABA $QCOM $NFLX $MS $AAPL https://t.co/LKXp69SNNE')
('2017-04-17 12:30:26', '$NFLX #Nasdaq #Stocks #Options #Trading Idea - Analysis #Charts &amp; Setup Ahead of @netflix #Earnings 17 Apr &gt;&gt;‰Û_ https://t.co/zG5C18AIpk')
('2017-04-17 12:30:01', 'A Peek Into The Markets: U.S. Stock Futures Edge Lower; Netflix Earnings In Focus https://t.co/9vDJiIqUJh $MGI $ALR $CSIQ $NFLX $UAL $WPRT')
('2017-04-17 12:29:46', 'RT @androsForm: Pre-Market Movers - $BAC $INCY $LLY $MGI $BABA $QCOM $NFLX $MS $AAPL https://t.co/LKXp69SNNE')
('2017-04-17 12:29:27', 'MONDAY PUMP-O-RAMA! $NFLX $AAPL')
('2017-04-17 12:28:07', 'RT @androsForm: Pre-Market Movers - $BAC $INCY $LLY $MGI $BABA $QCOM $NFLX $MS $AAPL https://t.co/LKXp69SNNE')
('2017-04-17 12:27:37', 'RT @androsForm: Pre-Market Movers - $BAC $INCY $LLY $MGI $BABA $QCOM $NFLX $MS $AAPL https://t.co/LKXp69SNNE')
('2017-04-17 12:27:28'," ""Will $NFLX's Cash Flow growth disappoint? https://t.co/BCXK1r8NzG"")"
('2017-04-17 12:27:27', 'RT @androsForm: Pre-Market Movers - $BAC $INCY $LLY $MGI $BABA $QCOM $NFLX $MS $AAPL https://t.co/LKXp69SNNE')
('2017-04-17 12:26:18', 'RT @androsForm: Pre-Market Movers - $BAC $INCY $LLY $MGI $BABA $QCOM $NFLX $MS $AAPL https://t.co/LKXp69SNNE')
('2017-04-17 12:26:03', 'RT @jsomaney: $AAPL TO of $NFLX makes far more sense @tim_cook @reedhastings  https://t.co/pqxiD9O4UO')
('2017-04-17 12:25:56', 'RT @androsForm: Pre-Market Movers - $BAC $INCY $LLY $MGI $BABA $QCOM $NFLX $MS $AAPL https://t.co/LKXp69SNNE')
('2017-04-17 12:25:52', 'RT @jsomaney: $NFLX ER tonight @reedhastings @tim_cook https://t.co/vkap5yr6Bd')
('2017-04-17 12:25:04', 'RT @androsForm: Pre-Market Movers - $BAC $INCY $LLY $MGI $BABA $QCOM $NFLX $MS $AAPL https://t.co/LKXp69SNNE')
('2017-04-17 12:24:05', 'RT @androsForm: Pre-Market Movers - $BAC $INCY $LLY $MGI $BABA $QCOM $NFLX $MS $AAPL https://t.co/LKXp69SNNE')
('2017-04-17 12:24:02', 'RT @eWhispers: #earnings $BAC $NFLX $GS $UNH $JNJ $IBM $GE $QCOM $VZ $SCHW $MS $CUDA $BX $PGR $V $MTB $HOG $ABT $UAL $CMA $RF $USB  https:/‰Û_')
('2017-04-17 12:23:48', 'RT @androsForm: Pre-Market Movers - $BAC $INCY $LLY $MGI $BABA $QCOM $NFLX $MS $AAPL https://t.co/LKXp69SNNE')
('2017-04-17 12:23:47', 'RT @androsForm: Pre-Market Movers - $BAC $INCY $LLY $MGI $BABA $QCOM $NFLX $MS $AAPL https://t.co/LKXp69SNNE')
('2017-04-17 12:23:38', 'RT @eWhispers: #earnings $BAC $NFLX $GS $UNH $JNJ $IBM $GE $QCOM $VZ $SCHW $MS $CUDA $BX $PGR $V $MTB $HOG $ABT $UAL $CMA $RF $USB  https:/‰Û_')
('2017-04-17 12:22:47', 'RT @androsForm: Pre-Market Movers - $BAC $INCY $LLY $MGI $BABA $QCOM $NFLX $MS $AAPL https://t.co/LKXp69SNNE')
('2017-04-17 12:22:38', 'Ubiquitech First Quarter 2017 Revenues  https://t.co/LRDWssStf7 $UBQU is killing the game! #investors #traders #stocks to #watch $NFLX $INCY')
('2017-04-17 12:21:42', 'RT @androsForm: Pre-Market Movers - $BAC $INCY $LLY $MGI $BABA $QCOM $NFLX $MS $AAPL https://t.co/LKXp69SNNE')
('2017-04-17 12:21:29', 'RT @androsForm: Pre-Market Movers - $BAC $INCY $LLY $MGI $BABA $QCOM $NFLX $MS $AAPL https://t.co/LKXp69SNNE')
('2017-04-17 12:21:20', '$INCY $NFLX $AAPL $REGN $VRTX $BIIB $MCD $LLY $PANW $KLAC Morning briefing: market news upgrades/downgrades 4.17 https://t.co/12uhgwsule')
('2017-04-17 12:20:51', 'RT @androsForm: Pre-Market Movers - $BAC $INCY $LLY $MGI $BABA $QCOM $NFLX $MS $AAPL https://t.co/LKXp69SNNE')
('2017-04-17 12:20:15', 'Netflix $NFLX has little Margin of Safety for Value Investors before earnings Monday https://t.co/rkrOiAywLc https://t.co/AKDpYZqUbJ')
('2017-04-17 12:19:34', '$NFLX Max Pain is 144.00 for maturity 04/21/2017. Prev Close = 142.92.  https://t.co/lEgRWXkWfU https://t.co/wdJKbiTM9L')
('2017-04-17 12:17:53', '$LRTTF $UBQU $VPRB $NVET $NFLX $INCY Good morning #traders and #investors #stocks to #watch #inittowinit')
('2017-04-17 12:17:10'," ""RT @SaadeyBajar: $NFLX Still on a bullish uptrend imo. However earnings is anyone's guess so let's see either $150+ or below $140 GL https‰Û_"")"
('2017-04-17 12:15:46', 'RT @AnkaMetcalf: #Earnings $BAC $NFLX $GS $UNH $JNJ $IBM $GE $QCOM $VZ $SCHW $MS $CUDA $BX $PGR $V $MTB $HOG $ABT $UAL $CMA $RF $USB https:‰Û_')
('2017-04-17 12:15:23'," ""RT @WrigleyTom: ER's\n$AXP $BAC $CSX $EBAY $GS $GE $GPC $HON $HOG\n$IBM $ISRG $JNJ $LRCX $MS $MXIM $NFLX $PFPT\n$QCOM $STLD $SHW $SNA $SKX $UA‰Û_"")"
('2017-04-17 12:15:06', '$USAK This is a must join site! #InvestorsHangout $HOS $X $NFLX $NAV $NE\n\n https://t.co/p1JHwvp2rG')
('2017-04-17 12:12:04', 'The Tech Sector and a Longer-Term Look at SP 500 Earnings https://t.co/RYU5e3SQK3 $NFLX $EBAY $IBM $QCOM $SPX‰Û_ https://t.co/YgcdWSbwEs')
('2017-04-17 12:12:04', 'The Tech Sector and a Longer-Term Look at SP 500 Earnings https://t.co/d63DPwrIsH $NFLX $EBAY $IBM $QCOM $SPX‰Û_ https://t.co/0KjInS3WIQ')
('2017-04-17 12:11:33', 'The Tech Sector and a Longer-Term Look at SP 500 Earnings https://t.co/SCgdGDpbjS $NFLX $EBAY $IBM $QCOM $SPX #technology #sector #earnings')
('2017-04-17 12:10:24', '$GILD and $NFLX are significant Pre-Market Gainers this AM on SpeculatingStocks Pre-Market https://t.co/ayAi1CAXh9 https://t.co/Yl4Id4FHFG')
('2017-04-17 12:09:49'," ""RT @WrigleyTom: ER's\n$AXP $BAC $CSX $EBAY $GS $GE $GPC $HON $HOG\n$IBM $ISRG $JNJ $LRCX $MS $MXIM $NFLX $PFPT\n$QCOM $STLD $SHW $SNA $SKX $UA‰Û_"")"
('2017-04-17 12:09:27', 'RT @Benzinga: 5 Stocks To Watch For April 17 2017 https://t.co/1PhPufcIYB $CE $JBHT $MTB $NFLX $UAL')
('2017-04-17 12:09:07'," ""RT @Benzinga: PreMarket Prep is live! We're talking setups in $NFLX $INCY and $LLY; plus @gtlackey at 8:35 on $RCII $KO and more. https://t‰Û_"")"
('2017-04-17 12:08:28'," ""Benzinga: PreMarket Prep is live! We're talking setups in $NFLX $INCY and $LLY; plus gtlackey at 8:35 on $RCII $KO‰Û_ https://t.co/IKZsjYue1B"")"
('2017-04-17 12:07:35'," ""PreMarket Prep is live! We're talking setups in $NFLX $INCY and $LLY; plus @gtlackey at 8:35 on $RCII $KO and more. https://t.co/kitjTsgavI"")"
('2017-04-17 12:07:35'," ""PreMarket Prep is live! We're talking setups in $NFLX $INCY and $LLY; plus @gtlackey at 8:35 on $RCII $KO and more. https://t.co/OmqREIO0Df"")"
('2017-04-17 12:07:02'," ""$NFLX Still on a bullish uptrend imo. However earnings is anyone's guess so let's see either $150+ or below $140 GL https://t.co/JIgcqeh2jm"")"
('2017-04-17 12:06:56', '3 Stocks to Watch Today: Netflix Tesla and United Continental $NFLX $TSLA $UAL - https://t.co/UpL4exPmc3')
('2017-04-17 12:06:32', 'RT @amberkanwar: #5things on scraped together on a slow Monday $NFLX $MCD https://t.co/jS7zXxBS4A')
('2017-04-17 12:06:13', 'RT @IcemanTrading: Some ER AH \n\n$BRO $CUDA $NFLX $PNFP $UAL https://t.co/WAWKEBE68B')
('2017-04-17 12:04:48', 'RT @amberkanwar: #5things on scraped together on a slow Monday $NFLX $MCD https://t.co/jS7zXxBS4A')
('2017-04-17 12:01:09', '$NFLX ER tonight @reedhastings @tim_cook https://t.co/vkap5yr6Bd')
('2017-04-17 12:01:04'," ""RT @WrigleyTom: ER's\n$AXP $BAC $CSX $EBAY $GS $GE $GPC $HON $HOG\n$IBM $ISRG $JNJ $LRCX $MS $MXIM $NFLX $PFPT\n$QCOM $STLD $SHW $SNA $SKX $UA‰Û_"")"
('2017-04-17 11:58:14', '$NFLX:\n\nA Peek Into The Markets: US Stock Futures Edge Lower; Netflix ‰Û_:\n\nhttps://t.co/MmEAcXjPRW')
('2017-04-17 11:55:14'," ""RT @WrigleyTom: ER's\n$AXP $BAC $CSX $EBAY $GS $GE $GPC $HON $HOG\n$IBM $ISRG $JNJ $LRCX $MS $MXIM $NFLX $PFPT\n$QCOM $STLD $SHW $SNA $SKX $UA‰Û_"")"
('2017-04-17 11:54:13'," ""RT @ExactOptionPick: Don't miss our next FREE OPTION TRADE.  Sign up for our Daily Free Trades at https://t.co/78FVQDKYyw\n\n$NVDA $TSLA $GS‰Û_"")"
('2017-04-17 11:54:13'," ""RT @ExactOptionPick: Don't miss our next FREE OPTION TRADE.  Sign up for our Daily Free Trades at https://t.co/78FVQDKYyw\n\n$NVDA $TSLA $GS‰Û_"")"
('2017-04-17 11:54:05'," ""Don't miss our next FREE OPTION TRADE.  Sign up for our Daily Free Trades at https://t.co/78FVQDKYyw\n\n$NVDA $TSLA $GS $NFLX $V $GOOGL $AAPL"")"
('2017-04-17 11:53:48', 'RT @SpartanStocks: Lots of EPS this week $GS $NFLX $IBM $GE. $VIX futures will be fun does rest of curve giveway to backwardation? $TVIX $‰Û_')
('2017-04-17 11:53:23', '$NFLX Netflix Earnings 4-17-17 | #Stocks to Trade $MOS $SPY $ESPR\nhttps://t.co/iqq5Ijv2sn https://t.co/OdJdRTlV5s')
('2017-04-17 11:51:53'," ""RT @WrigleyTom: ER's\n$AXP $BAC $CSX $EBAY $GS $GE $GPC $HON $HOG\n$IBM $ISRG $JNJ $LRCX $MS $MXIM $NFLX $PFPT\n$QCOM $STLD $SHW $SNA $SKX $UA‰Û_"")"
('2017-04-17 11:50:21', 'Lots of EPS this week $GS $NFLX $IBM $GE. $VIX futures will be fun does rest of curve giveway to backwardation? $TVIX $UVXY $VXX $SPY $/ES')
('2017-04-17 11:49:47', 'RT @eWhispers: #earnings $BAC $NFLX $GS $UNH $JNJ $IBM $GE $QCOM $VZ $SCHW $MS $CUDA $BX $PGR $V $MTB $HOG $ABT $UAL $CMA $RF $USB  https:/‰Û_')
('2017-04-17 11:49:01', 'RT @PipsToDollars: $NFLX EARNINGS AFTER THE CLOSE TODAY!\nMost millennials don‰Ûªt want to pay for Netflix https://t.co/vCk2ngCwyk')
('2017-04-17 11:48:22'," ""RT @WrigleyTom: ER's\n$AXP $BAC $CSX $EBAY $GS $GE $GPC $HON $HOG\n$IBM $ISRG $JNJ $LRCX $MS $MXIM $NFLX $PFPT\n$QCOM $STLD $SHW $SNA $SKX $UA‰Û_"")"
('2017-04-17 11:47:41', '$NFLX EARNINGS AFTER THE CLOSE TODAY!\nMost millennials don‰Ûªt want to pay for Netflix https://t.co/vCk2ngCwyk')
('2017-04-17 11:46:23'," ""RT @WrigleyTom: ER's\n$AXP $BAC $CSX $EBAY $GS $GE $GPC $HON $HOG\n$IBM $ISRG $JNJ $LRCX $MS $MXIM $NFLX $PFPT\n$QCOM $STLD $SHW $SNA $SKX $UA‰Û_"")"
('2017-04-17 11:45:40'," ""RT @WrigleyTom: ER's\n$AXP $BAC $CSX $EBAY $GS $GE $GPC $HON $HOG\n$IBM $ISRG $JNJ $LRCX $MS $MXIM $NFLX $PFPT\n$QCOM $STLD $SHW $SNA $SKX $UA‰Û_"")"
('2017-04-17 11:45:03', '#5things on scraped together on a slow Monday $NFLX $MCD https://t.co/jS7zXxBS4A')
('2017-04-17 11:42:48'," ""RT @WrigleyTom: ER's\n$AXP $BAC $CSX $EBAY $GS $GE $GPC $HON $HOG\n$IBM $ISRG $JNJ $LRCX $MS $MXIM $NFLX $PFPT\n$QCOM $STLD $SHW $SNA $SKX $UA‰Û_"")"
('2017-04-17 11:42:41', 'I beat 75% of people trading $NFLX ranking #251. Above average! The Trading Game: https://t.co/Uyu35gpkBn')
('2017-04-17 11:41:43'," ""ER's\n$AXP $BAC $CSX $EBAY $GS $GE $GPC $HON $HOG\n$IBM $ISRG $JNJ $LRCX $MS $MXIM $NFLX $PFPT\n$QCOM $STLD $SHW $SNA‰Û_ https://t.co/yCjBgLSqfW"")"
('2017-04-17 11:39:50'," ""$NFLX earnings implied move 7.5% - last 4 q's moves +3.9% / +19.0% / -13.1% / -13%"")"
('2017-04-17 11:39:31', 'First look US Stocks - Projected WEEKLY(l) &amp; DAILY 17Apr (r) Ranges: $AAPL $AGN $AMZN $BAC $FB $GOOG $GILD $NFLX‰Û_ https://t.co/FeGd3mEhz4')
('2017-04-17 11:38:11', '$NFLX $UAL:\n\nFutures dip on soft US data geopolitical risks:\n\nhttps://t.co/VuZO3jKfD6')
('2017-04-17 11:37:37', 'First look US Stocks - Projected WEEKLY(l) &amp; DAILY 17Apr (r) Ranges: $AAPL $AGN $AMZN $BAC $FB $GOOG $GILD $NFLX‰Û_ https://t.co/oZZ5kNMgyu')
('2017-04-17 11:37:20', 'LONG #Stocks #Options #Trading Idea on $NFLX  ahead of #Earnings 17 Apr - HERE on our #mtbanalysis Mag &gt;‰Û_ https://t.co/CGYg1nl9vK via uk_s‰Û_')
('2017-04-17 11:36:26', 'RT @MarketJane: Vice President Mike Pence Sets Stern Tone with North Korea https://t.co/Ws8tCDM7f6 via @TheStreet $NFLX $UAL')
('2017-04-17 11:35:34', 'RT @EquityClock: Seasonal charts of companies reporting earnings today: https://t.co/No0tdnqfq4 $BRO $CE $MTB $NFLX $UAL')
('2017-04-17 11:35:14', 'LONG #Stocks #Options #Trading Idea on $NFLX  ahead of #Earnings 17 Apr - HERE on our #mtbanalysis Mag &gt;‰Û_ https://t.co/nV4Aj6PE0u')
('2017-04-17 11:35:13', 'LONG #Stocks #Options #Trading Idea on $NFLX  ahead of #Earnings 17 Apr - HERE on our #mtbanalysis Mag &gt;‰Û_ https://t.co/Pw3OhQlj6S')
('2017-04-17 11:35:13', 'LONG #Stocks #Options #Trading Idea on $NFLX  ahead of #Earnings 17 Apr - HERE on our #mtbanalysis Mag &gt;‰Û_ https://t.co/uBOlnGUkDn')
('2017-04-17 11:35:13', 'LONG #Stocks #Options #Trading Idea on $NFLX  ahead of #Earnings 17 Apr - HERE on our #mtbanalysis Mag &gt;‰Û_ https://t.co/7uNQv0GgJk')
('2017-04-17 11:35:13', 'LONG #Stocks #Options #Trading Idea on $NFLX  ahead of #Earnings 17 Apr - HERE on our #mtbanalysis Mag &gt;‰Û_ https://t.co/NeZMOigNgk')
('2017-04-17 11:35:13', 'LONG #Stocks #Options #Trading Idea on $NFLX  ahead of #Earnings 17 Apr - HERE on our #mtbanalysis Mag &gt;‰Û_ https://t.co/uwPW6US84a')
('2017-04-17 11:34:16', 'Should You Buy Netflix Ahead of Earnings? $NFLX - https://t.co/1n8iNDvDPs')
('2017-04-17 11:32:06', '$CNAT See what others are saying! #InvestorsHangout $NFLX $SRCL $PIR $PAR $BEBE\n\n https://t.co/nvJ9hi4QDP')
('2017-04-17 11:31:41', 'I just published ‰ÛÏ_ÙÕÁTrade Ideas\u200a‰ÛÓ\u200a$NFLX $IBM $EBAY $YHOO $VZ $V‰Ûù https://t.co/idAzm3Zakj')
('2017-04-17 11:28:27', 'Should You Buy Netflix Ahead of Earnings? $NFLX - https://t.co/fNsdaP4Ror')
('2017-04-17 11:28:17', 'Vice President Mike Pence Sets Stern Tone with North Korea https://t.co/Ws8tCDM7f6 via @TheStreet $NFLX $UAL')
('2017-04-17 11:27:47', 'RT @charliebilello: New all-time highs today in Apple Amazon Netflix Facebook and the Nasdaq 100. $AAPL $AMZN $NFLX $FB $QQQ https://t.‰Û_')
('2017-04-17 11:27:42', '$NFLX international data positive says Nomura Instinet. It reiterates a $165 price target and a Buy rating on the stock.')
('2017-04-17 11:23:33', 'RT @androsForm: Pre-Market Movers - $BAC $INCY $LLY $MGI $BABA $QCOM $NFLX $MS $AAPL https://t.co/LKXp69SNNE')
('2017-04-17 11:23:31', 'RT @androsForm: Pre-Market Movers - $BAC $INCY $LLY $MGI $BABA $QCOM $NFLX $MS $AAPL https://t.co/LKXp69SNNE')
('2017-04-17 11:23:29', 'RT @androsForm: Pre-Market Movers - $BAC $INCY $LLY $MGI $BABA $QCOM $NFLX $MS $AAPL https://t.co/LKXp69SNNE')
('2017-04-17 11:23:22', 'RT @androsForm: Pre-Market Movers - $BAC $INCY $LLY $MGI $BABA $QCOM $NFLX $MS $AAPL https://t.co/LKXp69SNNE')
('2017-04-17 11:23:20', 'RT @androsForm: Pre-Market Movers - $BAC $INCY $LLY $MGI $BABA $QCOM $NFLX $MS $AAPL https://t.co/LKXp69SNNE')
('2017-04-17 11:23:19', 'RT @androsForm: Pre-Market Movers - $BAC $INCY $LLY $MGI $BABA $QCOM $NFLX $MS $AAPL https://t.co/LKXp69SNNE')
('2017-04-17 11:23:17', 'RT @androsForm: Pre-Market Movers - $BAC $INCY $LLY $MGI $BABA $QCOM $NFLX $MS $AAPL https://t.co/LKXp69SNNE')
('2017-04-17 11:23:15', 'RT @androsForm: Pre-Market Movers - $BAC $INCY $LLY $MGI $BABA $QCOM $NFLX $MS $AAPL https://t.co/LKXp69SNNE')
('2017-04-17 11:23:12', 'RT @androsForm: Pre-Market Movers - $BAC $INCY $LLY $MGI $BABA $QCOM $NFLX $MS $AAPL https://t.co/LKXp69SNNE')
('2017-04-17 11:23:09', 'RT @androsForm: Pre-Market Movers - $BAC $INCY $LLY $MGI $BABA $QCOM $NFLX $MS $AAPL https://t.co/LKXp69SNNE')
('2017-04-17 11:23:08', 'RT @androsForm: Pre-Market Movers - $BAC $INCY $LLY $MGI $BABA $QCOM $NFLX $MS $AAPL https://t.co/LKXp69SNNE')
('2017-04-17 11:22:57', 'RT @androsForm: Pre-Market Movers - $BAC $INCY $LLY $MGI $BABA $QCOM $NFLX $MS $AAPL https://t.co/LKXp69SNNE')
('2017-04-17 11:22:55', 'RT @androsForm: Pre-Market Movers - $BAC $INCY $LLY $MGI $BABA $QCOM $NFLX $MS $AAPL https://t.co/LKXp69SNNE')
('2017-04-17 11:22:52', 'RT @androsForm: Pre-Market Movers - $BAC $INCY $LLY $MGI $BABA $QCOM $NFLX $MS $AAPL https://t.co/LKXp69SNNE')
('2017-04-17 11:22:44', 'RT @androsForm: Pre-Market Movers - $BAC $INCY $LLY $MGI $BABA $QCOM $NFLX $MS $AAPL https://t.co/LKXp69SNNE')
('2017-04-17 11:22:38', 'RT @androsForm: Pre-Market Movers - $BAC $INCY $LLY $MGI $BABA $QCOM $NFLX $MS $AAPL https://t.co/LKXp69SNNE')
('2017-04-17 11:22:28', 'RT @androsForm: Pre-Market Movers - $BAC $INCY $LLY $MGI $BABA $QCOM $NFLX $MS $AAPL https://t.co/LKXp69SNNE')
('2017-04-17 11:22:24', 'RT @androsForm: Pre-Market Movers - $BAC $INCY $LLY $MGI $BABA $QCOM $NFLX $MS $AAPL https://t.co/LKXp69SNNE')
('2017-04-17 11:22:24', 'RT @androsForm: Pre-Market Movers - $BAC $INCY $LLY $MGI $BABA $QCOM $NFLX $MS $AAPL https://t.co/LKXp69SNNE')
('2017-04-17 11:22:22', 'RT @androsForm: Pre-Market Movers - $BAC $INCY $LLY $MGI $BABA $QCOM $NFLX $MS $AAPL https://t.co/LKXp69SNNE')
('2017-04-17 11:22:20', 'RT @androsForm: Pre-Market Movers - $BAC $INCY $LLY $MGI $BABA $QCOM $NFLX $MS $AAPL https://t.co/LKXp69SNNE')
('2017-04-17 11:22:19', 'RT @androsForm: Pre-Market Movers - $BAC $INCY $LLY $MGI $BABA $QCOM $NFLX $MS $AAPL https://t.co/LKXp69SNNE')
('2017-04-17 11:19:15', '@kazonomics Would be interesting. There are talks about_Ùç_ entering content creation like $NFLXHBOetc.And Pixar (no‰Û_ https://t.co/FD8ngwSP5P')
